fid,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,MAG_1,x_utm,y_utm
32,53,1950,4,18,4/18/1950,1:30:00,3,AL,1,1,3,15,0,4,0,30.67,-88.2,30.85,-88.1,14,100,3,960067.3046617013,3402875.1336692306
33,54,1950,4,18,4/18/1950,1:45:00,3,AL,1,2,2,0,0,3,0,30.7,-87.92,0,0,2,150,2,986786.4502155914,3407390.750895615
79,11,1951,2,20,2/20/1951,16:00:00,3,AL,1,1,2,2,0,4,0,33.67,-87.7,0,0,0.1,123,2,991599.8397046521,3738194.544620032
90,127,1951,6,8,6/8/1951,9:00:00,3,AL,1,2,2,2,0,3,0,34.97,-86.43,0,0,0.1,100,2,1100195.4819393475,3889490.381096204
108,247,1951,11,15,11/15/1951,15:00:00,3,AL,1,3,2,2,0,3,0,34.2,-86.7,0,0,0.1,150,2,1080857.4818736147,3802325.032920545
109,248,1951,11,15,11/15/1951,20:00:00,3,AL,1,5,2,6,0,3,0,34.83,-87.8,0,0,1.5,177,2,975716.342791555,3866540.5195172727
110,249,1951,11,16,11/16/1951,1:00:00,3,AL,1,4,2,1,0,3,0,34.08,-86.52,0,0,1.5,10,2,1098329.3763515498,3790034.0922687417
119,3,1952,1,22,1/22/1952,9:00:00,3,AL,1,1,1,0,0,3,0,32.92,-85.97,0,0,0.1,10,1,1157984.3472982775,3664423.1232179366
134,20,1952,2,13,2/13/1952,20:00:00,3,AL,1,2,3,14,1,4,0,33.57,-87.67,33.62,-87.62,5.6,100,3,994959.2749037307,3727232.4445008594
135,21,1952,2,13,2/13/1952,20:30:00,3,AL,1,3,1,6,0,6,0,34.02,-86.75,34.07,-86.67,6,400,1,1077469.2492033727,3782037.0147837726
137,23,1952,2,13,2/13/1952,21:30:00,3,AL,1,4,3,26,1,5,0,33.6,-86.93,0,0,0.1,200,3,1063575.9234338044,3734363.969485412
148,35,1952,2,29,2/29/1952,17:00:00,3,AL,1,5,3,12,0,0,0,34.5,-85.7,34.53,-85.67,3.3,400,3,1170816.8065467002,3841880.3093948965
154,42,1952,3,3,3/3/1952,13:10:00,3,AL,1,6,3,6,0,4,0,33.33,-87.9,33.37,-87.87,3.3,440,3,974889.3434556376,3699503.380947263
187,82,1952,3,22,3/22/1952,15:00:00,3,AL,1,7,4,50,4,4,0,34.6,-87,34.68,-86.63,21.6,100,4,1050520.2328886373,3845089.8815549887
192,88,1952,4,4,4/4/1952,6:20:00,3,AL,1,8,1,2,0,4,0,30.7,-88.28,0,0,0.2,200,1,952250.7603222881,3405879.110942549
199,126,1952,5,10,5/10/1952,9:00:00,3,AL,1,9,1,0,0,4,0,33.73,-87.75,0,0,0.2,50,1,986617.3399060823,3744620.0400435375
200,127,1952,5,10,5/10/1952,9:00:00,3,AL,1,10,1,0,0,4,0,33.73,-87.75,0,0,0.2,50,1,986617.3399060823,3744620.0400435375
201,128,1952,5,10,5/10/1952,9:00:00,3,AL,1,11,1,0,0,4,0,33.73,-87.75,0,0,0.2,50,1,986617.3399060823,3744620.0400435375
226,2,1953,1,8,1/8/1953,6:30:00,3,AL,1,1,1,0,0,4,0,32.62,-86.98,0,0,0.5,167,1,1065199.6742898608,3625203.596627494
227,3,1953,1,8,1/8/1953,7:10:00,3,AL,1,2,2,0,0,3,0,33.42,-86.12,33.45,-86.08,3,867,2,1140246.708214652,3719083.100806709
232,8,1953,1,20,1/20/1953,15:00:00,3,AL,1,3,3,0,0,3,0,33.8,-87.23,0,0,1.5,50,3,1034438.8035585872,3754981.388856097
233,9,1953,1,20,1/20/1953,16:30:00,3,AL,1,4,1,1,0,4,0,34.1,-86.5,0,0,0.1,10,1,1100037.060367241,3792374.9220383926
238,14,1953,1,23,1/23/1953,5:00:00,3,AL,1,5,3,1,0,4,0,31.53,-88,31.57,-87.9,6.5,300,3,974944.8215373114,3499195.9258569265
245,27,1953,2,20,2/20/1953,16:10:00,3,AL,1,6,3,8,1,4,0,34.7,-87.7,0,0,0.1,20,3,985637.4847441885,3852583.48435461
246,28,1953,2,20,2/20/1953,16:30:00,3,AL,1,7,2,2,0,4,0,33.95,-87.8,0,0,0.5,300,2,980739.782236567,3768815.3579675294
247,29,1953,2,20,2/20/1953,16:45:00,3,AL,1,8,2,1,0,4,0,33.93,-87.37,0,0,0.7,100,2,1020662.0511662549,3768700.788387025
248,30,1953,2,20,2/20/1953,19:00:00,3,AL,1,9,2,6,0,4,0,34.38,-87.07,34.42,-86.95,7.1,220,2,1045526.9481658686,3820266.098230688
260,54,1953,3,18,3/18/1953,14:22:00,3,AL,1,10,2,2,0,3,0,30.7,-88.12,0,0,0.1,10,2,967598.8560655579,3406537.1243847352
265,66,1953,3,22,3/22/1953,19:00:00,3,AL,1,11,2,0,0,3,0,34.85,-87.62,0,0,1,200,2,992080.5486415396,3869633.5280892765
267,74,1953,4,6,4/6/1953,15:45:00,3,AL,1,12,3,12,0,3,0,33.32,-87,0,0,0.5,37,3,1058870.2911290643,3702872.970662287
268,78,1953,4,12,4/12/1953,3:40:00,3,AL,1,13,1,0,0,4,0,33.85,-86.77,0,0,0.5,100,1,1076769.9120182006,3763032.561684993
277,90,1953,4,18,4/18/1953,17:00:00,3,AL,1,14,3,495,8,7,0,32.6,-85.58,32.48,-84.92,39.8,400,3,1197077.3121788446,3631346.1690515936
292,118,1953,5,1,5/1/1953,17:15:00,3,AL,1,15,2,2,0,4,0,33.03,-86.75,0,0,1.5,100,2,1084123.978350534,3672020.3553611473
293,119,1953,5,1,5/1/1953,19:30:00,3,AL,1,16,4,12,7,5,0,33.22,-85.93,33.3,-85.75,12.1,440,4,1159478.1244962327,3698036.548454206
294,121,1953,5,1,5/1/1953,20:00:00,3,AL,1,18,4,3,2,4,0,32.25,-88.38,0,0,0.1,100,4,935399.9663859614,3577526.436944041
295,120,1953,5,1,5/1/1953,20:00:00,3,AL,1,17,1,0,0,3,0,33.62,-86.62,0,0,0.1,10,1,1092265.7739435153,3738326.8885142235
304,130,1953,5,4,5/4/1953,18:30:00,3,AL,1,19,1,2,0,3,0,33.92,-87.82,0,0,0.2,67,1,979057.4791986389,3765390.009187058
305,131,1953,5,4,5/4/1953,19:00:00,3,AL,1,20,0,0,0,4,0,33.4,-86.97,0,0,0.1,10,0,1061152.388209307,3711923.788590378
345,418,1953,12,6,12/6/1953,7:00:00,3,AL,1,21,1,0,0,3,0,31.38,-85.4,0,0,0.1,10,1,1223624.9818761195,3496798.40940603
346,419,1953,12,6,12/6/1953,8:00:00,3,AL,1,22,2,1,0,4,0,31.37,-85.27,0,0,2,10,2,1236115.625653762,3496555.3300480405
364,19,1954,2,28,2/28/1954,2:00:00,3,AL,1,1,1,0,0,3,0,32.92,-86.82,33.03,-86.65,12.5,167,1,1078291.8215431536,3659407.7636859817
366,26,1954,3,13,3/13/1954,20:40:00,3,AL,1,2,3,20,2,7,0,32.33,-85.03,32.37,-84.93,7,1480,3,1251141.4154135082,3605064.8827123237
372,77,1954,3,29,3/29/1954,14:30:00,3,AL,1,3,2,0,0,4,0,31.37,-85.28,0,0,2.5,100,2,1235160.6924482663,3496487.8938287795
380,118,1954,4,16,4/16/1954,8:00:00,3,AL,1,4,2,1,0,4,0,31.32,-85.82,31.45,-85.57,17.3,100,2,1183973.6743563274,3487416.840797195
451,534,1954,12,5,12/5/1954,12:00:00,3,AL,1,5,3,7,0,5,0,32.68,-85.42,32.87,-84.6,51,200,3,1211506.2120603202,3641315.881821887
452,535,1954,12,5,12/5/1954,13:30:00,3,AL,1,6,3,26,0,5,0,33.78,-86,33.92,-85.6,24.7,100,3,1148715.4761944439,3759862.63072962
454,537,1954,12,5,12/5/1954,13:45:00,3,AL,1,7,2,35,1,5,0,31.93,-85.38,32.25,-84.3,71.5,100,2,1221237.05378233,3558134.6112068505
460,543,1954,12,5,12/5/1954,16:00:00,3,AL,1,8,1,2,0,3,0,31.88,-86.07,0,0,1.5,83,1,1156137.6389384633,3548154.8301694226
461,544,1954,12,5,12/5/1954,16:00:00,3,AL,1,9,2,0,0,4,0,32.45,-85.28,0,0,0.1,10,2,1226548.0044986908,3616677.616410564
485,41,1955,3,21,3/21/1955,12:30:00,3,AL,1,1,2,1,0,4,0,34.7,-88.1,34.73,-88.02,5.4,200,2,948952.7247282142,3850719.591362759
504,107,1955,4,21,4/21/1955,8:10:00,3,AL,1,2,2,1,0,4,0,32.38,-87.02,0,0,1.5,50,2,1062939.3265774082,3598324.601799112
509,131,1955,4,24,4/24/1955,5:45:00,3,AL,1,3,4,20,5,6,0,34.35,-87.05,34.37,-86.9,8.6,200,4,1047565.3267096088,3817041.2635567393
545,556,1955,10,16,10/16/1955,18:05:00,3,AL,1,4,2,0,0,3,0,31.32,-85.82,31.45,-85.57,17.3,167,2,1183973.6743563274,3487416.840797195
546,557,1955,10,16,10/16/1955,18:15:00,3,AL,1,5,1,0,0,4,0,31.35,-86.02,31.32,-85.78,14,167,1,1164664.9504550542,3489520.1846282063
547,558,1955,10,16,10/16/1955,18:40:00,3,AL,1,6,2,5,0,6,0,31.32,-85.83,31.42,-85.58,16.4,100,2,1183018.7694470997,3487354.3503870214
588,67,1956,3,16,3/16/1956,5:30:00,3,AL,1,1,1,0,0,4,0,31.2,-85.5,31.18,-85.3,11.9,20,1,1215448.0264215153,3476110.976588114
610,145,1956,4,15,4/15/1956,15:00:00,3,AL,1,2,4,200,25,6,0,33.5,-86.97,33.63,-86.63,21.3,200,4,1060505.4115581058,3723034.8156596227
614,169,1956,5,3,5/3/1956,4:40:00,3,AL,1,3,3,2,0,4,0,31.6,-86.55,31.62,-86.5,3.8,83,3,1112453.5449486077,3514210.8964567236
623,340,1956,7,8,7/8/1956,8:00:00,3,AL,1,4,2,0,0,3,0,31.62,-87.9,31.43,-87.42,31.1,10,2,983988.032051219,3509628.5400446397
652,503,1956,12,23,12/23/1956,0:50:00,3,AL,1,5,2,1,0,2,0,31.42,-87.35,32.6,-85.82,121.7,100,2,1037404.7627249864,3489990.9511387516
667,20,1957,2,1,2/1/1957,20:00:00,3,AL,1,1,1,0,0,2,0,31.2,-85.4,0,0,0.1,10,1,1225013.169194873,3476767.7563390927
701,135,1957,4,7,4/7/1957,23:35:00,3,AL,1,4,2,0,0,4,0,34.45,-88.13,0,0,0.1,10,2,947543.8491672811,3822827.770154431
705,139,1957,4,8,4/8/1957,9:46:00,3,AL,1,5,3,0,0,5,0,34.12,-87.98,34.32,-87.12,51.4,100,3,963154.3288734879,3786860.014476487
706,140,1957,4,8,4/8/1957,10:15:00,3,AL,1,6,3,90,2,2,0,34.32,-86.98,34.47,-86.33,38.8,200,3,1054214.1326885028,3814089.6275320547
707,141,1957,4,8,4/8/1957,10:30:00,3,AL,1,7,3,0,0,5,0,34.3,-86.6,34.38,-86.33,16.3,10,3,1089389.8654304913,3814016.368910241
724,294,1957,5,10,5/10/1957,19:45:00,3,AL,1,8,1,0,0,3,0,31.37,-85.3,0,0,0.1,10,1,1233250.8568148296,3496353.288672267
761,626,1957,6,28,6/28/1957,8:30:00,3,AL,1,9,1,0,0,3,0,31.6,-87.7,31.63,-87.82,7.4,100,1,1003099.9978784261,3508314.300486641
762,627,1957,6,28,6/28/1957,8:50:00,3,AL,1,10,2,0,0,4,0,31.92,-87.08,0,0,2,100,2,1060102.599556107,3546901.3980694427
763,628,1957,6,28,6/28/1957,9:27:00,3,AL,1,11,0,0,0,0,0,32.07,-86.3,0,0,0.1,100,0,1133002.1501919515,3567901.0060284603
764,629,1957,6,28,6/28/1957,9:35:00,3,AL,1,12,2,0,0,4,0,32.15,-86.58,32.25,-86.4,12.8,117,2,1105966.9444766475,3575174.5797100747
765,630,1957,6,28,6/28/1957,9:45:00,3,AL,1,13,2,0,0,5,0,31.4,-86.9,31.63,-86.62,23.2,440,2,1080402.1546042794,3490068.4655097937
766,631,1957,6,28,6/28/1957,9:55:00,3,AL,1,14,2,4,0,5,0,31.42,-87.4,31.53,-87.25,12.1,100,2,1032641.9883281055,3489746.4012582214
767,632,1957,6,28,6/28/1957,10:00:00,3,AL,1,15,1,8,0,5,0,31.97,-86.58,32.13,-86.27,22.3,50,1,1107161.9463623487,3555167.777250493
768,633,1957,6,28,6/28/1957,10:15:00,3,AL,1,16,2,0,0,5,0,31.77,-86.72,31.85,-86.53,12.3,133,2,1095189.562750544,3532158.9116066345
769,634,1957,6,28,6/28/1957,10:25:00,3,AL,1,17,2,0,0,4,0,31.42,-87.05,31.48,-86.82,14.5,133,2,1065985.4055579854,3491504.4282892714
770,635,1957,6,28,6/28/1957,10:30:00,3,AL,1,18,1,0,0,3,0,31.43,-87.05,0,0,1,10,1,1065925.0283424018,3492615.4965055822
771,636,1957,6,28,6/28/1957,10:30:00,3,AL,1,19,0,0,0,3,0,32.17,-86.13,32.18,-85.98,8.9,167,0,1148384.3459519437,3580037.035822696
772,637,1957,6,28,6/28/1957,11:00:00,3,AL,1,20,2,2,0,5,0,31.43,-86.7,31.58,-86.63,11.5,200,2,1099274.5215737636,3494481.7448048824
773,638,1957,6,28,6/28/1957,11:50:00,3,AL,1,21,0,0,0,0,0,31.7,-86.3,0,0,0.1,10,0,1135554.7769378833,3526765.444384438
774,639,1957,6,28,6/28/1957,17:45:00,3,AL,1,22,2,1,0,4,0,31.8,-85.67,31.97,-85.47,16.5,100,2,1194703.068262814,3541763.3793840734
782,720,1957,8,15,8/15/1957,17:30:00,3,AL,1,23,1,0,0,3,0,32.53,-85.08,0,0,0.1,133,1,1244755.378009666,3626972.5145450905
783,735,1957,9,18,9/18/1957,14:45:00,3,AL,1,24,0,0,0,4,0,32.4,-86.87,32.52,-86.72,11.9,100,0,1076954.8066980059,3601350.489889414
805,778,1957,11,8,11/8/1957,2:25:00,3,AL,1,25,1,5,0,5,0,33.13,-88.13,33.18,-88,8.7,10,1,954488.5440538251,3676270.891416043
806,779,1957,11,8,11/8/1957,4:30:00,3,AL,1,26,1,0,0,4,0,33.2,-86.57,33.23,-86.52,4.1,50,1,1099811.7282531774,3691935.5799772376
815,789,1957,11,17,11/17/1957,13:10:00,3,AL,1,27,1,0,0,3,0,33.9,-88.13,0,0,0.1,10,1,950466.5645593472,3761761.346952967
816,790,1957,11,17,11/17/1957,15:12:00,3,AL,1,28,4,15,4,4,0,33.9,-87.18,33.93,-87.3,7.2,200,4,1038445.2856256773,3766352.5550196175
817,791,1957,11,17,11/17/1957,16:10:00,3,AL,1,29,1,3,0,5,0,34.1,-87.05,34.15,-86.9,9.2,10,1,1049193.5663586918,3789265.5694577754
823,798,1957,11,18,11/18/1957,13:30:00,3,AL,1,30,2,0,0,4,0,34.48,-87.87,34.53,-87.75,7.4,10,2,971290.6203204782,3827342.848278027
825,800,1957,11,18,11/18/1957,14:30:00,3,AL,1,31,1,5,0,5,0,32.65,-87.9,32.95,-87.58,28,10,1,978558.6607218983,3623996.318747028
826,801,1957,11,18,11/18/1957,14:45:00,3,AL,1,32,1,1,0,4,0,33.4,-87.53,33.42,-87.48,3.3,10,1,1008972.8938280293,3709031.3246981786
827,802,1957,11,18,11/18/1957,14:45:00,3,AL,1,33,1,0,0,4,0,32.28,-87.37,32.67,-86.92,37.3,10,1,1030530.1582475151,3585420.277232831
829,804,1957,11,18,11/18/1957,15:30:00,3,AL,1,34,2,35,1,6,0,33.6,-86.8,33.63,-86.67,8.2,100,2,1075664.048353164,3735083.027861475
830,805,1957,11,18,11/18/1957,16:15:00,3,AL,1,35,1,0,0,4,0,34.33,-85.83,0,0,0.1,10,1,1160192.3011981538,3822115.651352624
833,808,1957,11,18,11/18/1957,16:35:00,3,AL,1,36,1,0,0,4,0,32.95,-85.97,0,0,0.1,10,1,1157760.6693559485,3667759.170730378
835,810,1957,11,18,11/18/1957,17:00:00,3,AL,1,37,1,0,0,4,0,34.32,-86.6,0,0,0.1,10,1,1089249.3256406598,3816239.1066092774
836,811,1957,11,18,11/18/1957,17:00:00,3,AL,1,38,1,0,0,3,0,34.5,-87.2,0,0,0.1,10,1,1032786.8205511182,3832902.5094006113
837,812,1957,11,18,11/18/1957,17:15:00,3,AL,1,39,1,0,0,4,0,33.7,-85.6,0,0,0.1,10,1,1186503.5401293284,3753573.622530864
838,813,1957,11,18,11/18/1957,17:30:00,3,AL,1,40,4,12,3,5,0,33.98,-86.52,34.27,-86.22,26.1,100,4,1099035.8802351127,3778919.625887232
839,814,1957,11,18,11/18/1957,17:30:00,3,AL,1,41,2,0,0,4,0,33.27,-85.85,0,0,0.1,10,2,1166573.4082278386,3704108.082178547
848,855,1957,12,19,12/19/1957,22:30:00,3,AL,1,42,1,0,0,3,0,33.87,-87.8,0,0,0.1,10,1,981190.8514421276,3759931.3744664975
849,856,1957,12,19,12/19/1957,23:15:00,3,AL,1,43,2,7,0,4,0,34.6,-87.67,0,0,0.1,10,2,988978.2963628541,3841623.1855871966
850,857,1957,12,20,12/20/1957,2:53:00,3,AL,1,44,1,0,0,5,0,32.8,-86.65,0,0,0.1,10,1,1095031.2496739253,3647021.8043003287
851,858,1957,12,20,12/20/1957,3:00:00,3,AL,1,45,1,0,0,3,0,31.3,-86.88,0,0,0.8,33,1,1082928.3435850055,3479062.498059337
857,10,1958,1,31,1/31/1958,13:30:00,3,AL,1,1,2,0,0,3,0,34.48,-87.87,0,0,3,440,2,971290.6203204782,3827342.848278027
859,13,1958,2,6,2/6/1958,14:05:00,3,AL,1,2,2,0,0,4,0,31.72,-86.12,31.83,-85.98,11.3,200,2,1152524.7380720628,3530059.9985659905
870,26,1958,2,26,2/26/1958,20:00:00,3,AL,1,3,2,0,0,5,0,31.78,-88.45,32,-88.2,20.9,67,2,930997.901275474,3525075.3714009067
872,28,1958,2,26,2/26/1958,23:30:00,3,AL,1,4,1,0,0,4,0,31.07,-87.42,0,0,0.1,10,1,1032707.0664932738,3450773.416787718
873,29,1958,2,27,2/27/1958,1:30:00,3,AL,1,5,1,0,0,4,0,32.23,-86,32.4,-85.9,12.9,200,1,1160243.3198618134,3587505.6667259047
880,67,1958,4,5,4/5/1958,20:00:00,3,AL,1,6,1,0,0,3,0,34.57,-86.95,0,0,0.5,100,1,1055314.490820319,3842031.923917303
881,69,1958,4,5,4/5/1958,21:00:00,3,AL,1,7,2,1,1,5,0,34.67,-87.53,34.85,-87.28,19.2,100,2,1001412.5813745996,3850088.210074104
882,71,1958,4,5,4/5/1958,22:00:00,3,AL,1,8,2,0,0,4,0,34.7,-87.4,34.92,-87.03,25.6,100,2,1013156.4954784327,3854078.1992948544
883,72,1958,4,5,4/5/1958,22:15:00,3,AL,1,9,2,0,0,5,0,34.8,-87,34.92,-86.88,10.5,50,2,1049190.6164056072,3867311.007858951
884,73,1958,4,5,4/5/1958,22:30:00,3,AL,1,12,1,0,0,4,0,34.73,-86.62,0,0,0.1,10,1,1084517.4517559782,3861687.743170208
885,74,1958,4,5,4/5/1958,23:00:00,3,AL,1,10,1,0,0,5,0,34.25,-86.87,34.33,-86.75,8.8,200,1,1064825.5456437278,3806920.0273335692
886,75,1958,4,5,4/5/1958,23:20:00,3,AL,1,11,2,0,0,4,0,34.3,-86.9,34.37,-86.82,6.6,10,2,1061723.078644484,3812308.811979766
887,76,1958,4,6,4/6/1958,0:03:00,3,AL,1,13,3,1,0,5,0,34.27,-86.22,34.58,-85.98,25.7,100,3,1124666.314447443,3812963.4838341144
905,117,1958,4,29,4/29/1958,6:00:00,3,AL,1,14,1,0,0,4,0,33.27,-86.97,0,0,0.3,300,1,1061990.9026358519,3697479.423787276
906,118,1958,4,29,4/29/1958,6:00:00,3,AL,1,15,2,0,0,4,0,33.63,-86.82,0,0,0.5,100,2,1073604.4164773072,3738305.057559901
907,119,1958,4,29,4/29/1958,6:30:00,3,AL,1,16,0,0,0,3,0,32.83,-86.47,0,0,0.1,10,0,1111721.2726031272,3651389.676212728
908,120,1958,4,29,4/29/1958,6:40:00,3,AL,1,17,1,0,0,4,0,32.95,-86.75,33.08,-86.62,12.1,100,1,1084654.147684451,3663129.971965481
909,121,1958,4,29,4/29/1958,6:40:00,3,AL,1,18,1,0,0,4,0,34,-86,0,0,0.1,10,1,1147040.6248102752,3784324.4592375206
913,168,1958,5,25,5/25/1958,16:00:00,3,AL,1,19,2,1,0,4,0,34.63,-87,0,0,0.1,50,2,1050321.2175370562,3848423.055102609
914,195,1958,6,2,6/2/1958,16:00:00,3,AL,1,20,1,0,0,3,0,31.3,-85.12,0,0,0.3,200,1,1251001.745559263,3489785.557134991
926,504,1958,9,20,9/20/1958,16:30:00,3,AL,1,21,1,0,0,4,0,35,-87.3,0,0,1,10,1,1020429.772301282,3887920.3335149977
943,3,1959,1,21,1/21/1959,5:45:00,3,AL,1,1,2,0,0,4,0,34.25,-86.7,0,0,1,10,2,1080512.4428961661,3807881.502577858
969,56,1959,3,21,3/21/1959,20:00:00,3,AL,1,2,2,0,0,4,0,31.33,-85.87,31.37,-85.85,2.7,150,2,1179126.9077297566,3488217.5462118927
970,69,1959,3,26,3/26/1959,14:45:00,3,AL,1,3,1,0,0,3,0,31.12,-88.25,0,0,0.1,10,1,953138.31986302,3452622.7575324057
987,106,1959,4,28,4/28/1959,18:30:00,3,AL,1,4,1,0,0,3,0,32.67,-86.9,0,0,0.1,10,1,1072402.1887612063,3631190.0284511345
992,231,1959,5,12,5/12/1959,12:10:00,3,AL,1,5,2,0,0,0,0,33.2,-87,33.2,-86.92,4.9,100,2,1059638.8759892255,3689539.985065449
993,232,1959,5,12,5/12/1959,13:30:00,3,AL,1,6,3,5,0,5,0,33.37,-86.95,33.42,-86.82,8.6,440,3,1063210.7312871711,3708698.9996678205
995,260,1959,5,20,5/20/1959,20:30:00,3,AL,1,7,1,0,0,2,0,32.4,-87.1,0,0,0.1,200,1,1055273.8775613692,3600126.3465736876
1016,410,1959,7,1,7/1/1959,12:40:00,3,AL,1,8,2,3,0,4,0,32.42,-87,0,0,0.1,50,2,1064574.702485641,3602874.9559140955
1047,9,1960,1,29,1/29/1960,6:00:00,3,AL,1,1,1,0,0,3,0,30.63,-88.1,0,0,0.1,10,1,969857.2807031951,3398849.871694493
1074,48,1960,3,29,3/29/1960,17:00:00,3,AL,1,2,2,0,0,4,0,31.6,-87.3,31.63,-87.22,5.7,50,2,1041124.5970264974,3510232.8722002134
1091,166,1960,5,5,5/5/1960,7:00:00,3,AL,1,3,1,0,0,3,0,30.93,-88.22,30.85,-88.05,11.5,10,1,956912.3938227396,3431654.758075432
1105,210,1960,5,7,5/7/1960,0:55:00,3,AL,1,4,2,0,0,4,0,30.5,-88.27,0,0,0.1,100,2,954145.0469591348,3383719.2999828053
1106,211,1960,5,7,5/7/1960,1:37:00,3,AL,1,5,2,0,0,5,0,30.5,-88.1,0,0,0.2,100,2,970486.4590499104,3384417.9635929237
1115,321,1960,5,26,5/26/1960,13:00:00,3,AL,1,6,1,0,0,3,0,34.7,-86.1,0,0,0.2,10,1,1132466.1422188133,3861517.4214527234
1121,387,1960,6,15,6/15/1960,22:00:00,3,AL,1,9,2,0,0,0,0,31.62,-87.58,0,0,0.1,10,2,1014395.7097658501,3511096.281294792
1127,469,1960,7,4,7/4/1960,17:50:00,3,AL,1,7,0,0,0,0,0,31.65,-86.6,0,0,0.1,10,0,1107369.9844500895,3519487.6578402114
1128,470,1960,7,4,7/4/1960,17:50:00,3,AL,1,8,0,0,0,0,0,31.65,-86.6,0,0,0.1,10,0,1107369.9844500895,3519487.6578402114
1145,563,1960,9,16,9/16/1960,13:20:00,3,AL,1,10,2,2,0,5,0,33.18,-86.27,0,0,0.3,33,2,1127990.8953057795,3691483.004745915
1153,577,1960,10,8,10/8/1960,14:27:00,3,AL,1,11,0,0,0,0,0,33.75,-86.63,0,0,0.1,10,0,1090441.3649838408,3752717.2084517637
1162,14,1961,2,20,2/20/1961,18:00:00,3,AL,1,1,1,2,0,4,0,32.33,-87.77,0,0,1,10,1,992518.524858868,3589056.6716944664
1165,17,1961,2,22,2/22/1961,5:30:00,3,AL,1,2,2,0,0,5,0,33.2,-87.5,0,0,1,10,2,1012942.0899767671,3686965.1680454537
1171,23,1961,2,24,2/24/1961,16:30:00,3,AL,1,3,2,4,0,4,0,32.23,-85.4,32.38,-85,25.6,10,2,1216973.4530820644,3591381.727569769
1184,70,1961,3,7,3/7/1961,21:30:00,3,AL,1,4,3,1,0,5,0,33.82,-87.9,33.9,-87.55,25.9,10,3,972203.7705569561,3753913.9406130495
1185,71,1961,3,7,3/7/1961,23:40:00,3,AL,1,5,3,8,0,5,0,34.25,-86.73,34.4,-86.58,19.3,200,3,1077744.0322904843,3807709.8957955223
1188,74,1961,3,8,3/8/1961,4:00:00,3,AL,1,6,1,0,0,4,0,32.95,-85.97,0,0,0.1,10,1,1157760.6693559485,3667759.170730378
1209,107,1961,3,17,3/17/1961,8:30:00,3,AL,1,7,1,0,0,4,0,31.03,-87.48,31.05,-87.42,4.1,10,1,1027192.1223058602,3446043.0099937636
1225,153,1961,3,31,3/31/1961,13:10:00,3,AL,1,8,3,7,0,4,0,32.43,-85.03,32.45,-84.98,8.2,167,3,1250306.7908130703,3616195.701838824
1231,170,1961,4,9,4/9/1961,9:30:00,3,AL,1,9,1,0,0,5,0,31.6,-86.03,31.87,-85.17,54.1,10,1,1161935.8007416865,3517261.505478222
1246,218,1961,4,27,4/27/1961,9:00:00,3,AL,1,10,2,2,0,4,0,31.67,-86,0,0,0.1,10,2,1164289.9084437038,3525229.5402955636
1270,405,1961,6,6,6/6/1961,15:00:00,3,AL,1,11,1,0,0,3,0,34.9,-86.4,0,0,0.1,10,1,1103455.7893764647,3881891.5540030724
1276,451,1961,6,20,6/20/1961,13:30:00,3,AL,1,12,2,0,0,4,0,31.13,-85.27,0,0,0.1,10,2,1237996.6992525537,3469843.927877966
1336,682,1961,12,10,12/10/1961,7:30:00,3,AL,1,14,3,1,0,5,0,31.12,-87.05,0,0,0.2,33,3,1067788.6976284315,3458172.3157777814
1339,685,1961,12,11,12/11/1961,18:05:00,3,AL,1,15,3,0,0,5,0,33.8,-85.78,33.83,-85.75,3.3,200,3,1168987.5980443428,3763503.7221184284
1340,686,1961,12,11,12/11/1961,19:00:00,3,AL,1,16,2,0,0,4,0,32.78,-87.67,32.87,-87.57,8.3,150,2,999438.3230318518,3639497.5800681766
1341,687,1961,12,11,12/11/1961,19:00:00,3,AL,1,17,3,2,0,5,0,32.63,-87.4,32.68,-87.25,9.4,100,3,1025653.6128385797,3624148.3402409903
1343,689,1961,12,11,12/11/1961,20:05:00,3,AL,1,18,1,0,0,3,0,32.9,-86.6,0,0,2,150,1,1099048.3071626602,3658420.219619267
1344,690,1961,12,11,12/11/1961,21:00:00,3,AL,1,19,2,0,0,4,0,33.03,-86.08,0,0,0.1,10,2,1146860.0277182045,3675968.140236907
1345,691,1961,12,12,12/12/1961,4:15:00,3,AL,1,20,2,0,0,4,0,32.4,-88.38,32.53,-88,24.2,10,2,934680.4730009498,3594176.9576626676
1346,692,1961,12,12,12/12/1961,5:00:00,3,AL,1,21,1,0,0,3,0,33.77,-85.55,0,0,0.1,10,1,1190586.6220233247,3761696.1166517176
1350,696,1961,12,17,12/17/1961,20:00:00,3,AL,1,22,2,1,0,4,0,32.6,-87.3,32.63,-87.22,5.4,100,2,1035232.4828182677,3621317.247023724
1354,3,1962,1,5,1/5/1962,16:30:00,3,AL,1,1,2,0,0,3,0,31.3,-86.5,0,0,0.1,10,2,1119192.9360084184,3481145.9011005
1355,5,1962,1,5,1/5/1962,17:30:00,3,AL,1,2,2,0,0,4,0,31.75,-86,0,0,2,10,2,1163715.6986888964,3534126.297800008
